mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,output_tokens_per_second,73,73,11.651816412728344,1533.7375363503204,13076.471337063176,13063.076742909188,12982.87279756175,13165.665183826888
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,ttft_ms,73,73,391.84845381506847,15.147875301369865,96.08334297894356,96.13425160827127,-96.23855342265438,-96.02586559283897
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,average_tpot_ms,73,73,164.69228943570482,0.8284875161290319,99.49648024021279,99.49694820627747,-99.50119909809804,-99.49382927419602
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,exact_itl_ms,73,73,164.69228943570482,0.8284875161290319,99.49648024021279,99.49694820627745,-99.50119909809804,-99.49382927419602
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,request_latency_ms,73,73,5497.984573513699,40.83098830136986,99.25659142577366,99.25734625560662,-99.26381875344839,-99.25228239987545
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-192,last_token_latency_ms,73,73,5497.309426321918,40.83098830136986,99.25650011137662,99.25725504724431,-99.26372757041621,-99.25218949831076
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,output_tokens_per_second,73,73,6.055622761637232,1157.9124480215355,19025.36828958871,19021.277754568644,18969.486622691882,19092.45023590138
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,ttft_ms,73,73,352.5339959726027,10.561254,97.00407148944049,97.00418849794539,-97.00849943905905,-97.00001038969882
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,average_tpot_ms,73,73,159.11595712593902,0.5401313548387093,99.66045969428724,99.6605423085183,-99.66199374040276,-99.65948719398655
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,exact_itl_ms,73,73,159.11595712593902,0.5401313548387093,99.66045969428724,99.6605423085183,-99.66199374040276,-99.65948719398655
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,request_latency_ms,73,73,5285.477881958904,27.305325999999987,99.48327889487649,99.48338964593529,-99.48545546346905,-99.48188042204484
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-384,last_token_latency_ms,73,73,5285.1286668767125,27.305325999999987,99.48324476417524,99.48335551088606,-99.48542133612887,-99.48184667062915
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,output_tokens_per_second,73,73,11.628147668514954,1497.9830153187208,12792.160796964456,12782.38727286502,12709.222608991951,12867.398061685944
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,ttft_ms,73,73,400.9493022260274,15.853330047945203,95.98625972084966,96.0460512189623,-96.15518672568453,-95.93072070193989
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,average_tpot_ms,73,73,164.71225943725145,0.836504516129032,99.49183140169694,99.49214192131964,-99.49550913854172,-99.4894809977506
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,exact_itl_ms,73,73,164.71225943725145,0.836504516129032,99.49183140169694,99.49214192131964,-99.49550913854172,-99.4894809977506
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,request_latency_ms,73,73,5507.729170671233,41.784970047945194,99.24076394135838,99.24133942041938,-99.2468004482873,-99.23671344568547
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-384,last_token_latency_ms,73,73,5507.029344780822,41.784970047945194,99.24066741649612,99.2412430108522,-99.24670626935199,-99.23661501953418
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,output_tokens_per_second,73,73,6.049842570972655,1114.129392466423,18329.482158179133,18315.84106356838,18240.353075594874,18442.25160425294
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,ttft_ms,73,73,353.0866392739726,11.599419000000001,96.71473794110663,96.71485190607861,-96.71939091073548,-96.71049528951954
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,average_tpot_ms,73,73,159.35093996774194,0.540360129032258,99.66061521663488,99.66089931497007,-99.66391674689686,-99.65913850107749
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,exact_itl_ms,73,73,159.35093996774194,0.540360129032258,99.66061521663488,99.66089931497007,-99.66391674689686,-99.65913850107749
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,request_latency_ms,73,73,5293.31575509589,28.350583,99.46401073767096,99.46440786244979,-99.46886807085427,-99.46181063390125
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-768,last_token_latency_ms,73,73,5292.965778273972,28.350583,99.46397536945689,99.46437244849814,-99.46883262618228,-99.4617751606807
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,output_tokens_per_second,73,73,11.60727303231509,1425.3519305183481,12189.845232864325,12179.817374417868,12110.984533888122,12260.967144278968
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,ttft_ms,73,73,407.44341688356167,17.411340815068495,95.66332679578103,95.7266849595353,-95.84100463718929,-95.60507621192907
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,average_tpot_ms,73,73,164.83073771807335,0.8537000483870966,99.48169118710015,99.48207472695582,-99.4860094563229,-99.47931644681869
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,exact_itl_ms,73,73,164.83073771807335,0.8537000483870966,99.48169118710015,99.48207472695582,-99.4860094563229,-99.47931644681869
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,request_latency_ms,73,73,5517.978157534247,43.87604231506849,99.20420110756501,99.2048529178181,-99.21076568373978,-99.20000138682305
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-burst-768,last_token_latency_ms,73,73,5517.196286143836,43.87604231506849,99.20408826003275,99.20474023327282,-99.21065648588753,-99.19988788213782
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-cold-control,output_tokens_per_second,73,73,5.832014851865494,796.7996381466246,13575.632725013038,13562.510442540306,13508.105079317167,13658.098517856813
