mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,heldout-burst-384,ttft_ms,ms,40,40,390.96001851249997,390.96001851249997,530.41304175,35.669382196185204,37.6396183240402,35.66938219618519,30.570158710363057,41.21348626080102
hybrid,heldout-burst-384,average_tpot_ms,ms,40,40,161.72703202459678,161.72703202459678,142.92020587096778,-11.628746238766507,11.590354171594688,11.628746238766508,-12.288356331962909,-11.113428729413572
hybrid,heldout-burst-384,output_tokens_per_second,tokens/s,40,40,11.847185466953945,11.847185466953945,12.726378024846797,7.421109092494893,7.488230420629739,7.421109092494885,6.64720540839481,8.287897095334912
hybrid,heldout-burst-384,request_latency_ms,ms,40,40,5405.1905014125,5405.1905014125,4960.93942375,-8.21897170037591,8.16161464314328,8.218971700375903,-8.987863393288533,-7.524050651704085
hybrid,heldout-burst-384,last_token_latency_ms,ms,40,40,5404.498011275,5404.498011275,4960.93942375,-8.207211596704022,8.149838732692409,8.207211596704012,-8.976394517642088,-7.512097041205254
hybrid,heldout-burst-384,exact_itl_ms,ms,40,40,161.72703202459678,161.72703202459678,142.92020587096778,-11.628746238766507,11.59035417159469,11.628746238766512,-12.28835633196292,-11.113428729413572
hybrid,heldout-single-768,ttft_ms,ms,40,40,351.877506,351.877506,451.676916,28.36197491976087,28.370376496241597,28.36197491976086,28.04219978637956,28.682052459216393
hybrid,heldout-single-768,average_tpot_ms,ms,40,40,155.9138934217742,155.9138934217742,134.85214874193548,-13.50857464822781,13.506779128549876,13.508574648227807,-13.632053407737557,-13.382848200076655
hybrid,heldout-single-768,output_tokens_per_second,tokens/s,40,40,6.171076413215031,6.171076413215031,6.907769962262249,11.937845194553542,11.940023756231685,11.937845194553537,11.781262974857352,12.093689488793633
hybrid,heldout-single-768,request_latency_ms,ms,40,40,5185.582011475,5185.582011475,4632.093527,-10.673603912737361,10.671865286638367,10.67360391273736,-10.797608266895413,-10.54846642271336
