scope,purpose,metric,coverage_unit,observed_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent
main,heldout-burst-768,native_forward_interval_ms,correlated native intervals,1050,1050,146.86495533456937,765.6655571878156,421.4391910178315,421.3398631712869
main,heldout-single-192,ttft_ms,scenario whole-trial cohorts,30,30,161.93669549999998,1537.301852,849.5711252120949,849.3227259290344
main,heldout-single-192,average_tpot_ms,scenario whole-trial cohorts,30,30,142.58313678817206,750.410520967742,426.3232454175161,426.29682434507373
main,heldout-single-192,exact_itl_ms,scenario whole-trial cohorts,30,30,142.58313678817206,750.410520967742,426.3232454175161,426.2968243450737
main,heldout-single-192,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.983130967451226,1.2903021767457679,81.52164393907738,81.52258374130544
main,heldout-single-192,request_latency_ms,scenario whole-trial cohorts,30,30,4582.7047522,24800.028002,441.1932610450742,441.16573820502737
main,heldout-single-192,last_token_latency_ms,scenario whole-trial cohorts,30,30,4582.013935933333,24800.028002,441.27471059491717,441.2473281129024
main,heldout-single-192,native_forward_interval_ms,correlated native intervals,960,960,142.90289849644373,751.5919812172137,426.0467857069884,425.9459319055855
main,heldout-single-384,ttft_ms,scenario whole-trial cohorts,30,30,160.02007263333334,1557.375863,873.335432725221,873.2378178383524
main,heldout-single-384,average_tpot_ms,scenario whole-trial cohorts,30,30,142.4597559516129,781.9459330322582,448.91183771835233,448.8890022371298
main,heldout-single-384,exact_itl_ms,scenario whole-trial cohorts,30,30,142.4597559516129,781.9459330322582,448.91183771835233,448.8890022371298
main,heldout-single-384,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.991642820183254,1.2404014712274056,82.25807463200006,82.25879806607605
main,heldout-single-384,request_latency_ms,scenario whole-trial cohorts,30,30,4577.0794934,25797.699787000005,463.6509452906926,463.6279602353302
main,heldout-single-384,last_token_latency_ms,scenario whole-trial cohorts,30,30,4576.272507133333,25797.699787000005,463.7503356570335,463.72735117472683
main,heldout-single-384,native_forward_interval_ms,correlated native intervals,960,960,142.71484119575084,781.8383736970986,447.9641371563192,447.8325639760982
main,heldout-single-768,ttft_ms,scenario whole-trial cohorts,30,30,313.6633187333333,2413.007717,669.4377903546034,669.298662892572
main,heldout-single-768,average_tpot_ms,scenario whole-trial cohorts,30,30,145.67647390215052,783.9685686129033,438.188924962051,438.1572930845974
main,heldout-single-768,exact_itl_ms,scenario whole-trial cohorts,30,30,145.67647390215055,783.9685686129033,438.188924962051,438.15729308459737
main,heldout-single-768,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.62496177213028,1.1977636526243276,81.9193573377806,81.92044431617629
main,heldout-single-768,request_latency_ms,scenario whole-trial cohorts,30,30,4830.506964033333,26716.033344000003,453.10218627174345,453.0689334043085
main,heldout-single-768,last_token_latency_ms,scenario whole-trial cohorts,30,30,4829.6340097,26716.033344000003,453.20247249420413,453.16890038339596
main,heldout-single-768,native_forward_interval_ms,correlated native intervals,990,990,146.0639307559985,785.7849203313559,438.04720234955977,437.9732807848494
main,heterogeneous,ttft_ms,scenario whole-trial cohorts,30,30,1854.6996149,10886.550371533333,487.52317165090653,486.9710806038154
main,heterogeneous,average_tpot_ms,scenario whole-trial cohorts,30,30,144.8988137250896,769.4587383455198,431.07307598960364,431.03177214782545
main,heterogeneous,exact_itl_ms,scenario whole-trial cohorts,30,30,144.8988137250896,769.4587383455198,431.07307598960364,431.03177214782545
