scope,mode,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent,mean_signed_error_percent,weighting
serving-off,HYBRID,ttft_ms,600,600,373.06866149083334,451.8105813208333,22.05562262278689,22.597728519938446,20.647224896279646,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,average_tpot_ms,600,600,158.84178527163775,134.77770880874553,15.06057126914876,15.149714177374596,-15.06057126914876,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,exact_itl_ms,600,600,158.84178527163775,134.77770880874553,15.060571269148761,15.149714177374598,-15.060571269148761,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,output_tokens_per_second,600,600,8.67725141743719,10.076044967193754,14.032485292931574,16.120237647438056,14.032485292931574,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,request_latency_ms,600,600,4210.840360088333,3694.097513965278,12.005454043162496,12.271727302248415,-12.005454043162496,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,last_token_latency_ms,600,600,4210.318785251667,3694.097513965278,11.99413685795725,12.260859512459275,-11.99413685795725,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,HYBRID,native_forward_interval_ms,15756,15756,157.00117988034413,138.7019727687282,15.52640620346931,16.040450656255786,-11.828013416508004,MAPE: equal supported correlated native intervals; WAPE: observed interval latency weighted
serving-on,HYBRID,ttft_ms,1500,1400,367.9818587732143,403.00074371607144,14.290980863656321,14.500793681796303,9.403328835762338,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,average_tpot_ms,1500,1400,160.24950917707076,150.09052390243855,6.283044878276882,6.339479806709949,-6.283044878276882,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,exact_itl_ms,1500,1400,160.24950917707076,150.09052390243855,6.283044878276882,6.339479806709949,-6.283044878276882,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,output_tokens_per_second,1500,1400,7.972055042858721,8.297994029418932,5.208382822265694,4.435789231885788,4.977637818705739,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,request_latency_ms,1500,1400,4161.185208639643,3959.695666482143,5.156919208651336,4.9009713830998844,-5.110831112523261,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,last_token_latency_ms,1500,1400,4160.7074357242855,3959.695666482143,5.14606901205891,4.891156023058843,-5.09911206969005,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,HYBRID,native_forward_interval_ms,39393,39293,158.5976757886128,146.368075969518,8.515774162193699,8.864258830332425,-7.522722241608264,MAPE: equal supported correlated native intervals; WAPE: observed interval latency weighted
serving-off,SILICON,ttft_ms,600,560,366.59707571160715,438.0900904294643,20.748482521386613,21.127692853935333,19.23948495727171,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,average_tpot_ms,600,560,158.56270817566025,137.86619761843318,13.011835603802758,13.05257131096606,-13.011835603802758,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,exact_itl_ms,600,560,158.56270817566025,137.86619761843318,13.011835603802758,13.05257131096606,-13.011835603802758,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,output_tokens_per_second,600,560,8.052380331765498,8.852746967163252,11.024344260497127,9.9395036302548,11.024344260497127,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,request_latency_ms,600,560,4118.047043030358,3709.2757447151785,10.234690577004054,9.926338724250584,-10.234690577004054,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,last_token_latency_ms,600,560,4117.564008092857,3709.2757447151785,10.223435645633735,9.915772106401,-10.223435645633735,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-off,SILICON,native_forward_interval_ms,15756,14476,156.9465783006679,143.1633159920775,13.014721721293546,13.556519708558362,-8.98930884816821,MAPE: equal supported correlated native intervals; WAPE: observed interval latency weighted
serving-on,SILICON,ttft_ms,1500,1400,367.9818587732143,403.00074371607144,14.290980863656321,14.500793681796303,9.403328835762338,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SILICON,average_tpot_ms,1500,1400,160.24950917707076,150.09052390243855,6.283044878276882,6.339479806709949,-6.283044878276882,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SILICON,exact_itl_ms,1500,1400,160.24950917707076,150.09052390243855,6.283044878276882,6.339479806709949,-6.283044878276882,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
serving-on,SILICON,output_tokens_per_second,1500,1400,7.972055042858721,8.297994029418932,5.208382822265694,4.435789231885788,4.977637818705739,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
